Symbol,Current Price,Date,Time,Change,Open,High,Low,Volume,Trade Date,Purchase Price,Quantity,Commission,High Limit,Low Limit,Comment
AAPL,380.61,2020/07/14,11:18 EDT,-1.3000183,379.36,386.3944,375.52,18476402,20200624,361.0,3.0,,,,
AAPL,380.61,2020/07/14,11:18 EDT,-1.3000183,379.36,386.3944,375.52,18476402,20200702,366.5,17.0,,,,
AAPL,380.61,2020/07/14,11:18 EDT,-1.3000183,379.36,386.3944,375.52,18476402,20200702,366.42,14.0,,,,
AAPL,380.61,2020/07/14,11:18 EDT,-1.3000183,379.36,386.3944,375.52,18476402,20200713,382.57,10.0,,,,
WORK,32.23,2020/07/14,11:18 EDT,-1.1899986,32.69,32.77,30.92,15742406,20200714,32.1179,100.0,,,,
SPLK,195.582,2020/07/14,11:18 EDT,-2.4179993,198.37,200.9,190.4801,1027288,20200713,197.88,20.0,,,,
ESPO,53.48,2020/07/14,11:16 EDT,-0.52000046,53.69,53.87,52.84,120470,20200416,42.73,3.0,,,,
ESPO,53.48,2020/07/14,11:16 EDT,-0.52000046,53.69,53.87,52.84,120470,20200420,43.0001,21.0,,,,
ESPO,53.48,2020/07/14,11:16 EDT,-0.52000046,53.69,53.87,52.84,120470,20200513,44.36,5.0,,,,
ESPO,53.48,2020/07/14,11:16 EDT,-0.52000046,53.69,53.87,52.84,120470,20200526,47.93,4.0,,,,
ESPO,53.48,2020/07/14,11:16 EDT,-0.52000046,53.69,53.87,52.84,120470,20200611,49.48,3.0,,,,
HERO,23.81,2020/07/14,11:12 EDT,-0.3600006,23.9,23.94,23.36,96545,20200416,17.92,7.0,,,,
HERO,23.81,2020/07/14,11:12 EDT,-0.3600006,23.9,23.94,23.36,96545,20200420,18.115,50.0,,,,
HERO,23.81,2020/07/14,11:12 EDT,-0.3600006,23.9,23.94,23.36,96545,20200513,18.8,11.0,,,,
HERO,23.81,2020/07/14,11:12 EDT,-0.3600006,23.9,23.94,23.36,96545,20200526,20.17,14.0,,,,
HERO,23.81,2020/07/14,11:12 EDT,-0.3600006,23.9,23.94,23.36,96545,20200611,21.4385,13.0,,,,
HERO,23.81,2020/07/14,11:12 EDT,-0.3600006,23.9,23.94,23.36,96545,20200713,24.13,50.0,,,,
VDC,154.7466,2020/07/14,11:14 EDT,1.5466003,152.89,154.75,152.55,34850,20200416,149.95,2.0,,,,
VDC,154.7466,2020/07/14,11:14 EDT,1.5466003,152.89,154.75,152.55,34850,20200420,151.94,12.0,,,,
VDC,154.7466,2020/07/14,11:14 EDT,1.5466003,152.89,154.75,152.55,34850,20200513,144.285,3.0,,,,
VDC,154.7466,2020/07/14,11:14 EDT,1.5466003,152.89,154.75,152.55,34850,20200526,147.69,1.0,,,,
VDC,154.7466,2020/07/14,11:14 EDT,1.5466003,152.89,154.75,152.55,34850,20200611,151.309,1.0,,,,
LKOR,63.0711,2020/07/13,15:17 EDT,0.0,63.4,63.45,63.03,19,20200416,59.99,2.0,,0.0,,
LKOR,63.0711,2020/07/13,15:17 EDT,0.0,63.4,63.45,63.03,19,20200420,59.2701,15.0,,,,
LKOR,63.0711,2020/07/13,15:17 EDT,0.0,63.4,63.45,63.03,19,20200513,57.175,3.0,,,,
LKOR,63.0711,2020/07/13,15:17 EDT,0.0,63.4,63.45,63.03,19,20200526,59.7299,2.0,,,,
LKOR,63.0711,2020/07/13,15:17 EDT,0.0,63.4,63.45,63.03,19,20200611,60.855,2.0,,,,
PPTY,26.025,2020/07/14,11:09 EDT,0.17090034,26.26,26.025,25.82,3500,20200416,25.66,5.0,,,,
PPTY,26.025,2020/07/14,11:09 EDT,0.17090034,26.26,26.025,25.82,3500,20200611,26.4011,3.0,,,,
SPLB,32.45,2020/07/14,11:16 EDT,0.13000107,32.38,32.4904,32.41,40225,20200416,30.69,4.0,,,,
SPLB,32.45,2020/07/14,11:16 EDT,0.13000107,32.38,32.4904,32.41,40225,20200420,30.565,29.0,,,,
SPLB,32.45,2020/07/14,11:16 EDT,0.13000107,32.38,32.4904,32.41,40225,20200513,29.3754,7.0,,,,
SPLB,32.45,2020/07/14,11:16 EDT,0.13000107,32.38,32.4904,32.41,40225,20200526,30.48,4.0,,,,
SPLB,32.45,2020/07/14,11:16 EDT,0.13000107,32.38,32.4904,32.41,40225,20200611,31.03,4.0,,,,
INDS,31.869,2020/07/14,10:20 EDT,0.054698944,32.43,32.02,31.755,1680,20200416,29.5,4.0,,,,
INDS,31.869,2020/07/14,10:20 EDT,0.054698944,32.43,32.02,31.755,1680,20200611,31.1114,3.0,,,,
SRVR,35.4046,2020/07/14,11:18 EDT,0.024597168,35.52,35.6999,35.22,22885,20200416,32.64,4.0,,,,
SRVR,35.4046,2020/07/14,11:18 EDT,0.024597168,35.52,35.6999,35.22,22885,20200420,33.4099,27.0,,,,
SRVR,35.4046,2020/07/14,11:18 EDT,0.024597168,35.52,35.6999,35.22,22885,20200513,32.5188,6.0,,,,
SRVR,35.4046,2020/07/14,11:18 EDT,0.024597168,35.52,35.6999,35.22,22885,20200526,33.526,8.0,,,,
SRVR,35.4046,2020/07/14,11:18 EDT,0.024597168,35.52,35.6999,35.22,22885,20200611,34.3,1.0,,,,
VCR,208.645,2020/07/14,11:07 EDT,0.085006714,208.0,209.88,205.0,33172,20200416,164.925,2.0,,,,
VCR,208.645,2020/07/14,11:07 EDT,0.085006714,208.0,209.88,205.0,33172,20200526,188.54,2.0,,,,
VCR,208.645,2020/07/14,11:07 EDT,0.085006714,208.0,209.88,205.0,33172,20200611,199.06,2.0,,,,
SMH,157.9,2020/07/14,11:18 EDT,0.22999573,156.631,158.2299,154.81,1285254,20200413,130.0,1.0,,,,
SMH,157.9,2020/07/14,11:18 EDT,0.22999573,156.631,158.2299,154.81,1285254,20200420,131.33,7.0,,,,
SMH,157.9,2020/07/14,11:18 EDT,0.22999573,156.631,158.2299,154.81,1285254,20200513,129.245,2.0,,,,
SOXX,276.61,2020/07/14,11:18 EDT,0.22998047,274.43,276.65,270.85,525257,20200413,227.41,1.0,,,,
SOXX,276.61,2020/07/14,11:18 EDT,0.22998047,274.43,276.65,270.85,525257,20200420,229.815,8.0,,,,
SOXX,276.61,2020/07/14,11:18 EDT,0.22998047,274.43,276.65,270.85,525257,20200513,227.6306,2.0,,,,
IZRL,24.144,2020/07/14,11:11 EDT,0.1439991,24.55,24.21,23.945,5487,20200416,19.8,9.0,,,,
IZRL,24.144,2020/07/14,11:11 EDT,0.1439991,24.55,24.21,23.945,5487,20200420,20.85,68.0,,,,
IZRL,24.144,2020/07/14,11:11 EDT,0.1439991,24.55,24.21,23.945,5487,20200513,21.5628,14.0,,,,
IZRL,24.144,2020/07/14,11:11 EDT,0.1439991,24.55,24.21,23.945,5487,20200526,23.845,22.0,,,,
ARKG,54.165,2020/07/14,11:18 EDT,-0.36499786,54.18,55.5121,52.92,422238,20200413,35.8,9.0,,,,
ARKG,54.165,2020/07/14,11:18 EDT,-0.36499786,54.18,55.5121,52.92,422238,20200420,38.63,55.0,,,,
ARKG,54.165,2020/07/14,11:18 EDT,-0.36499786,54.18,55.5121,52.92,422238,20200420,38.63,100.0,,,,
ARKG,54.165,2020/07/14,11:18 EDT,-0.36499786,54.18,55.5121,52.92,422238,20200513,43.02,25.0,,,,
ARKG,54.165,2020/07/14,11:18 EDT,-0.36499786,54.18,55.5121,52.92,422238,20200526,48.2101,52.0,,,,
ARKW,92.0981,2020/07/14,11:18 EDT,-1.1418991,92.5,94.2972,89.53,713818,20200416,59.87,8.0,,,,
ARKW,92.0981,2020/07/14,11:18 EDT,-1.1418991,92.5,94.2972,89.53,713818,20200420,62.82,88.0,,,,
ARKW,92.0981,2020/07/14,11:18 EDT,-1.1418991,92.5,94.2972,89.53,713818,20200513,68.17,16.0,,,,
ARKW,92.0981,2020/07/14,11:18 EDT,-1.1418991,92.5,94.2972,89.53,713818,20200611,79.5699,34.0,,,,
XSD,115.02,2020/07/14,11:14 EDT,-0.060005188,114.06,115.19,112.84,25967,20200416,92.26,5.0,,,,
XSD,115.02,2020/07/14,11:14 EDT,-0.060005188,114.06,115.19,112.84,25967,20200420,93.79,34.0,,,,
XSD,115.02,2020/07/14,11:14 EDT,-0.060005188,114.06,115.19,112.84,25967,20200513,96.025,7.0,,,,
FBND,54.45,2020/07/14,11:17 EDT,0.15000153,54.39,54.48,54.38,46140,20200416,53.2,2.0,,,,
FBND,54.45,2020/07/14,11:17 EDT,0.15000153,54.39,54.48,54.38,46140,20200420,53.08,17.0,,,,
FBND,54.45,2020/07/14,11:17 EDT,0.15000153,54.39,54.48,54.38,46140,20200513,52.7099,5.0,,,,
FBND,54.45,2020/07/14,11:17 EDT,0.15000153,54.39,54.48,54.38,46140,20200526,53.3974,3.0,,,,
FBND,54.45,2020/07/14,11:17 EDT,0.15000153,54.39,54.48,54.38,46140,20200611,53.96,2.0,,,,
VGT,280.12,2020/07/14,11:17 EDT,-1.5299988,279.37,282.88,276.14,499532,20200416,228.74,4.0,,,,
VGT,280.12,2020/07/14,11:17 EDT,-1.5299988,279.37,282.88,276.14,499532,20200420,234.895,14.0,,,,
VGT,280.12,2020/07/14,11:17 EDT,-1.5299988,279.37,282.88,276.14,499532,20200513,240.68,3.0,,,,
VGT,280.12,2020/07/14,11:17 EDT,-1.5299988,279.37,282.88,276.14,499532,20200526,257.88,1.0,,,,
VGT,280.12,2020/07/14,11:17 EDT,-1.5299988,279.37,282.88,276.14,499532,20200611,271.63,1.0,,,,
ARKK,77.1063,2020/07/14,11:17 EDT,-1.033699,78.1,79.5,75.01,1177778,20200416,49.92,38.0,,,,
ARKK,77.1063,2020/07/14,11:17 EDT,-1.033699,78.1,79.5,75.01,1177778,20200420,53.1784,276.0,,,,
ARKK,77.1063,2020/07/14,11:17 EDT,-1.033699,78.1,79.5,75.01,1177778,20200513,55.65,54.0,,,,
ARKK,77.1063,2020/07/14,11:17 EDT,-1.033699,78.1,79.5,75.01,1177778,20200713,78.25,20.0,,,,
